LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Cupang_Ciawitali_R,Sun,3/19/17,10:00,62,22,20.8
Cupang_Ciawitali_R,Sun,3/19/17,12:00,63,22,25.4
Cupang_Ciawitali_R,Sun,3/19/17,14:00,64,22,27.2
Cupang_Ciawitali_R,Sun,3/19/17,16:00,62,22,22.4
Cupang_Ciawitali_R,Sun,4/9/17,10:00,60,22,26.4
Cupang_Ciawitali_R,Sun,4/9/17,12:00,65,23,27.5
Cupang_Ciawitali_R,Sun,4/9/17,14:00,62,23,26.1
Cupang_Ciawitali_R,Sun,4/9/17,16:00,63,23,25.1
Cupang_Ciawitali_R,Sun,4/16/17,10:00,65,21,26.5
Cupang_Ciawitali_R,Sun,4/16/17,12:00,61,22,26.3
Cupang_Ciawitali_R,Sun,4/16/17,14:00,63,22,24
Cupang_Ciawitali_R,Sun,4/16/17,16:00,65,22,24.2
Cupang_Ciawitali_R,Sun,4/30/17,10:00,65,20,27
Cupang_Ciawitali_R,Sun,4/30/17,12:00,62,18,29
Cupang_Ciawitali_R,Sun,4/30/17,14:00,65,24,34
Cupang_Ciawitali_R,Sun,4/30/17,16:00,64,22,30
Cupang_Ciawitali_R,Mon,5/14/17,10:00,65,15,22
Cupang_Ciawitali_R,Mon,5/14/17,12:00,63,22,28
Cupang_Ciawitali_R,Mon,5/14/17,14:00,60,21,33
Cupang_Ciawitali_R,Mon,5/14/17,16:00,64,22,28
Cupang_Ciawitali_R,Tue,5/15/17,10:00,60,18,23
Cupang_Ciawitali_R,Tue,5/15/17,12:00,61,22,29
Cupang_Ciawitali_R,Tue,5/15/17,14:00,61,23,29
Cupang_Ciawitali_R,Tue,5/15/17,16:00,62,20,25
Cupang_Ciawitali_R,Wed,5/16/17,10:00,61,17,26
Cupang_Ciawitali_R,Wed,5/16/17,12:00,62,18,30
Cupang_Ciawitali_R,Wed,5/16/17,14:00,62,21,31
Cupang_Ciawitali_R,Wed,5/16/17,16:00,60,20,28
Cupang_Ciawitali_R,Thu,5/17/17,10:00,60,19,23
Cupang_Ciawitali_R,Thu,5/17/17,12:00,63,23,28
Cupang_Ciawitali_R,Thu,5/17/17,14:00,60,23,33
Cupang_Ciawitali_R,Thu,5/17/17,16:00,61,23,30
Cupang_Ciawitali_R,Fri,5/18/17,10:00,67,19,22
Cupang_Ciawitali_R,Fri,5/18/17,12:00,67,19,29
Cupang_Ciawitali_R,Fri,5/18/17,14:00,67,22,32
Cupang_Ciawitali_R,Fri,5/18/17,16:00,66,22,27
Cupang_Ciawitali_R,Sat,5/19/17,10:00,66,20,25
Cupang_Ciawitali_R,Sat,5/19/17,12:00,66,22,26
Cupang_Ciawitali_R,Sat,5/19/17,14:00,70,22,32
Cupang_Ciawitali_R,Sat,5/19/17,16:00,67,19,28
Cupang_Ciawitali_R,Sun,5/20/17,10:00,67,15,22
Cupang_Ciawitali_R,Sun,5/20/17,12:00,66,22,26
Cupang_Ciawitali_R,Sun,5/20/17,14:00,66,24,31
Cupang_Ciawitali_R,Sun,5/20/17,16:00,68,21,26
Cupang_Ciawitali_R,Mon,5/28/17,10:00,65,18,20
Cupang_Ciawitali_R,Mon,5/28/17,12:00,62,19,28
Cupang_Ciawitali_R,Mon,5/28/17,14:00,65,20,31
Cupang_Ciawitali_R,Mon,5/28/17,16:00,65,21,29
Cupang_Ciawitali_R,Tue,5/29/17,10:00,65,16,26
Cupang_Ciawitali_R,Tue,5/29/17,12:00,63,22,27
Cupang_Ciawitali_R,Tue,5/29/17,14:00,61,23,31
Cupang_Ciawitali_R,Tue,5/29/17,16:00,61,21,27
Cupang_Ciawitali_R,Wed,5/30/17,10:00,60,16,20
Cupang_Ciawitali_R,Wed,5/30/17,12:00,63,23,26
Cupang_Ciawitali_R,Wed,5/30/17,14:00,63,20,34
Cupang_Ciawitali_R,Wed,5/30/17,16:00,64,20,26
Cupang_Ciawitali_R,Thu,5/31/17,10:00,64,18,20
Cupang_Ciawitali_R,Thu,5/31/17,12:00,65,20,25
Cupang_Ciawitali_R,Thu,5/31/17,14:00,61,21,31
Cupang_Ciawitali_R,Thu,5/31/17,16:00,61,19,26
Cupang_Ciawitali_R,Fri,6/1/17,10:00,69,16,21
Cupang_Ciawitali_R,Fri,6/1/17,12:00,67,20,29
Cupang_Ciawitali_R,Fri,6/1/17,14:00,70,25,31
Cupang_Ciawitali_R,Fri,6/1/17,16:00,66,22,28
Cupang_Ciawitali_R,Sat,6/2/17,10:00,67,15,20
Cupang_Ciawitali_R,Sat,6/2/17,12:00,67,18,28
Cupang_Ciawitali_R,Sat,6/2/17,14:00,69,21,28
Cupang_Ciawitali_R,Sat,6/2/17,16:00,69,20,25
Cupang_Ciawitali_R,Sun,6/3/17,10:00,70,17,23
Cupang_Ciawitali_R,Sun,6/3/17,12:00,68,23,27
Cupang_Ciawitali_R,Sun,6/3/17,14:00,69,21,31
Cupang_Ciawitali_R,Sun,6/3/17,16:00,67,23,25
Cupang_Ciawitali_R,Mon,6/11/17,10:00,60,16,20
Cupang_Ciawitali_R,Mon,6/11/17,12:00,61,23,25
Cupang_Ciawitali_R,Mon,6/11/17,14:00,62,24,31
Cupang_Ciawitali_R,Mon,6/11/17,16:00,65,20,28
Cupang_Ciawitali_R,Tue,6/12/17,10:00,61,19,27
Cupang_Ciawitali_R,Tue,6/12/17,12:00,62,23,27
Cupang_Ciawitali_R,Tue,6/12/17,14:00,65,25,31
Cupang_Ciawitali_R,Tue,6/12/17,16:00,60,22,26
Cupang_Ciawitali_R,Wed,6/13/17,10:00,65,16,21
Cupang_Ciawitali_R,Wed,6/13/17,12:00,61,22,30
Cupang_Ciawitali_R,Wed,6/13/17,14:00,61,23,30
Cupang_Ciawitali_R,Wed,6/13/17,16:00,60,22,25
Cupang_Ciawitali_R,Thu,6/14/17,10:00,65,20,23
Cupang_Ciawitali_R,Thu,6/14/17,12:00,61,21,27
Cupang_Ciawitali_R,Thu,6/14/17,14:00,60,24,32
Cupang_Ciawitali_R,Thu,6/14/17,16:00,64,19,29
Cupang_Ciawitali_R,Fri,6/15/17,10:00,70,18,24
Cupang_Ciawitali_R,Fri,6/15/17,12:00,68,21,29
