LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Grand_Royal_Pancanaka,Sun,3/19/17,10:00,89,22,23
Grand_Royal_Pancanaka,Sun,3/19/17,12:00,140,22,28
Grand_Royal_Pancanaka,Sun,3/19/17,14:00,87,22,30
Grand_Royal_Pancanaka,Sun,3/19/17,16:00,113,22,25
Grand_Royal_Pancanaka,Sun,4/9/17,10:00,144,22,29
Grand_Royal_Pancanaka,Sun,4/9/17,12:00,121,23,30
Grand_Royal_Pancanaka,Sun,4/9/17,14:00,117,23,29
Grand_Royal_Pancanaka,Sun,4/9/17,16:00,93,23,28
Grand_Royal_Pancanaka,Sun,4/16/17,10:00,112,21,29
Grand_Royal_Pancanaka,Sun,4/16/17,12:00,141,22,29
Grand_Royal_Pancanaka,Sun,4/16/17,14:00,101,22,26
Grand_Royal_Pancanaka,Sun,4/16/17,16:00,122,22,27
Grand_Royal_Pancanaka,Sun,4/30/17,10:00,138,20,30
Grand_Royal_Pancanaka,Sun,4/30/17,12:00,106,18,32
Grand_Royal_Pancanaka,Sun,4/30/17,14:00,98,24,37
Grand_Royal_Pancanaka,Sun,4/30/17,16:00,128,22,33
Grand_Royal_Pancanaka,Mon,5/14/17,10:00,95,15,24
Grand_Royal_Pancanaka,Mon,5/14/17,12:00,95,22,31
Grand_Royal_Pancanaka,Mon,5/14/17,14:00,89,21,36
Grand_Royal_Pancanaka,Mon,5/14/17,16:00,94,22,31
Grand_Royal_Pancanaka,Tue,5/15/17,10:00,110,18,25
Grand_Royal_Pancanaka,Tue,5/15/17,12:00,120,22,32
Grand_Royal_Pancanaka,Tue,5/15/17,14:00,109,23,32
Grand_Royal_Pancanaka,Tue,5/15/17,16:00,142,20,28
Grand_Royal_Pancanaka,Wed,5/16/17,10:00,120,17,29
Grand_Royal_Pancanaka,Wed,5/16/17,12:00,90,18,33
Grand_Royal_Pancanaka,Wed,5/16/17,14:00,108,21,34
Grand_Royal_Pancanaka,Wed,5/16/17,16:00,80,20,31
Grand_Royal_Pancanaka,Thu,5/17/17,10:00,142,19,25
Grand_Royal_Pancanaka,Thu,5/17/17,12:00,96,23,31
Grand_Royal_Pancanaka,Thu,5/17/17,14:00,94,23,36
Grand_Royal_Pancanaka,Thu,5/17/17,16:00,134,23,33
Grand_Royal_Pancanaka,Fri,5/18/17,10:00,136,19,24
Grand_Royal_Pancanaka,Fri,5/18/17,12:00,98,19,32
Grand_Royal_Pancanaka,Fri,5/18/17,14:00,139,22,35
Grand_Royal_Pancanaka,Fri,5/18/17,16:00,97,22,30
Grand_Royal_Pancanaka,Sat,5/19/17,10:00,95,20,28
Grand_Royal_Pancanaka,Sat,5/19/17,12:00,87,22,29
Grand_Royal_Pancanaka,Sat,5/19/17,14:00,103,22,35
Grand_Royal_Pancanaka,Sat,5/19/17,16:00,81,19,31
Grand_Royal_Pancanaka,Sun,5/20/17,10:00,88,15,24
Grand_Royal_Pancanaka,Sun,5/20/17,12:00,137,22,29
Grand_Royal_Pancanaka,Sun,5/20/17,14:00,82,24,34
Grand_Royal_Pancanaka,Sun,5/20/17,16:00,140,21,29
Grand_Royal_Pancanaka,Mon,5/28/17,10:00,98,18,22
Grand_Royal_Pancanaka,Mon,5/28/17,12:00,143,19,31
Grand_Royal_Pancanaka,Mon,5/28/17,14:00,120,20,34
Grand_Royal_Pancanaka,Mon,5/28/17,16:00,136,21,32
Grand_Royal_Pancanaka,Tue,5/29/17,10:00,100,16,29
Grand_Royal_Pancanaka,Tue,5/29/17,12:00,95,22,30
Grand_Royal_Pancanaka,Tue,5/29/17,14:00,123,23,34
Grand_Royal_Pancanaka,Tue,5/29/17,16:00,93,21,30
Grand_Royal_Pancanaka,Wed,5/30/17,10:00,118,16,22
Grand_Royal_Pancanaka,Wed,5/30/17,12:00,112,23,29
Grand_Royal_Pancanaka,Wed,5/30/17,14:00,86,20,37
Grand_Royal_Pancanaka,Wed,5/30/17,16:00,149,20,29
Grand_Royal_Pancanaka,Thu,5/31/17,10:00,103,18,22
Grand_Royal_Pancanaka,Thu,5/31/17,12:00,89,20,28
Grand_Royal_Pancanaka,Thu,5/31/17,14:00,105,21,34
Grand_Royal_Pancanaka,Thu,5/31/17,16:00,120,19,29
Grand_Royal_Pancanaka,Fri,6/1/17,10:00,110,16,23
Grand_Royal_Pancanaka,Fri,6/1/17,12:00,85,20,32
Grand_Royal_Pancanaka,Fri,6/1/17,14:00,129,25,34
Grand_Royal_Pancanaka,Fri,6/1/17,16:00,118,22,31
Grand_Royal_Pancanaka,Sat,6/2/17,10:00,138,15,22
Grand_Royal_Pancanaka,Sat,6/2/17,12:00,125,18,31
Grand_Royal_Pancanaka,Sat,6/2/17,14:00,95,21,31
Grand_Royal_Pancanaka,Sat,6/2/17,16:00,137,20,28
Grand_Royal_Pancanaka,Sun,6/3/17,10:00,133,17,25
Grand_Royal_Pancanaka,Sun,6/3/17,12:00,131,23,30
Grand_Royal_Pancanaka,Sun,6/3/17,14:00,103,21,34
Grand_Royal_Pancanaka,Sun,6/3/17,16:00,110,23,28
Grand_Royal_Pancanaka,Mon,6/11/17,10:00,91,16,22
Grand_Royal_Pancanaka,Mon,6/11/17,12:00,89,23,28
Grand_Royal_Pancanaka,Mon,6/11/17,14:00,136,24,34
Grand_Royal_Pancanaka,Mon,6/11/17,16:00,80,20,31
Grand_Royal_Pancanaka,Tue,6/12/17,10:00,129,19,30
Grand_Royal_Pancanaka,Tue,6/12/17,12:00,142,23,30
Grand_Royal_Pancanaka,Tue,6/12/17,14:00,89,25,34
Grand_Royal_Pancanaka,Tue,6/12/17,16:00,83,22,29
Grand_Royal_Pancanaka,Wed,6/13/17,10:00,103,16,23
Grand_Royal_Pancanaka,Wed,6/13/17,12:00,134,22,33
Grand_Royal_Pancanaka,Wed,6/13/17,14:00,130,23,33
Grand_Royal_Pancanaka,Wed,6/13/17,16:00,135,22,28
Grand_Royal_Pancanaka,Thu,6/14/17,10:00,121,20,25
Grand_Royal_Pancanaka,Thu,6/14/17,12:00,116,21,30
Grand_Royal_Pancanaka,Thu,6/14/17,14:00,81,24,35
Grand_Royal_Pancanaka,Thu,6/14/17,16:00,147,19,32
Grand_Royal_Pancanaka,Fri,6/15/17,10:00,115,18,26
Grand_Royal_Pancanaka,Fri,6/15/17,12:00,133,21,32
Grand_Royal_Pancanaka,Fri,6/15/17,14:00,87,20,35
Grand_Royal_Pancanaka,Fri,6/15/17,16:00,96,18,32
Grand_Royal_Pancanaka,Sat,6/16/17,10:00,103,16,26
Grand_Royal_Pancanaka,Sat,6/16/17,12:00,138,19,31
Grand_Royal_Pancanaka,Sat,6/16/17,14:00,90,20,33
Grand_Royal_Pancanaka,Sat,6/16/17,16:00,131,20,29
Grand_Royal_Pancanaka,Sun,6/17/17,10:00,145,17,23
Grand_Royal_Pancanaka,Sun,6/17/17,12:00,87,21,31
Grand_Royal_Pancanaka,Sun,6/17/17,14:00,86,20,32
Grand_Royal_Pancanaka,Sun,6/17/17,16:00,102,21,32
Grand_Royal_Pancanaka,Mon,6/25/17,10:00,89,19,30
Grand_Royal_Pancanaka,Mon,6/25/17,12:00,131,18,29
Grand_Royal_Pancanaka,Mon,6/25/17,14:00,115,20,36
Grand_Royal_Pancanaka,Mon,6/25/17,16:00,83,18,29
Grand_Royal_Pancanaka,Tue,6/26/17,10:00,90,19,25
Grand_Royal_Pancanaka,Tue,6/26/17,12:00,104,21,33
Grand_Royal_Pancanaka,Tue,6/26/17,14:00,81,25,32
Grand_Royal_Pancanaka,Tue,6/26/17,16:00,146,23,32
Grand_Royal_Pancanaka,Wed,6/27/17,10:00,95,20,23
Grand_Royal_Pancanaka,Wed,6/27/17,12:00,111,21,32
Grand_Royal_Pancanaka,Wed,6/27/17,14:00,88,23,32
Grand_Royal_Pancanaka,Wed,6/27/17,16:00,82,21,31
Grand_Royal_Pancanaka,Thu,6/28/17,10:00,116,18,25
Grand_Royal_Pancanaka,Thu,6/28/17,12:00,113,23,31
Grand_Royal_Pancanaka,Thu,6/28/17,14:00,144,21,35
Grand_Royal_Pancanaka,Thu,6/28/17,16:00,110,21,28
Grand_Royal_Pancanaka,Fri,6/29/17,10:00,125,15,23
Grand_Royal_Pancanaka,Fri,6/29/17,12:00,149,19,29
Grand_Royal_Pancanaka,Fri,6/29/17,14:00,83,21,32
Grand_Royal_Pancanaka,Fri,6/29/17,16:00,116,18,29
Grand_Royal_Pancanaka,Sat,6/30/17,10:00,80,15,25
Grand_Royal_Pancanaka,Sat,6/30/17,12:00,91,20,30
Grand_Royal_Pancanaka,Sat,6/30/17,14:00,91,25,37
Grand_Royal_Pancanaka,Sat,6/30/17,16:00,134,23,33
Grand_Royal_Pancanaka,Sun,7/1/17,10:00,148,17,30
Grand_Royal_Pancanaka,Sun,7/1/17,12:00,135,22,33
Grand_Royal_Pancanaka,Sun,7/1/17,14:00,93,23,37
Grand_Royal_Pancanaka,Sun,7/1/17,16:00,91,23,32
Grand_Royal_Pancanaka,Mon,7/23/17,10:00,119,19,25
Grand_Royal_Pancanaka,Mon,7/23/17,12:00,136,20,31
Grand_Royal_Pancanaka,Mon,7/23/17,14:00,148,20,35
Grand_Royal_Pancanaka,Mon,7/23/17,16:00,108,23,29
Grand_Royal_Pancanaka,Tue,7/24/17,10:00,97,18,30
Grand_Royal_Pancanaka,Tue,7/24/17,12:00,88,21,33
Grand_Royal_Pancanaka,Tue,7/24/17,14:00,123,25,35
Grand_Royal_Pancanaka,Tue,7/24/17,16:00,91,18,28
Grand_Royal_Pancanaka,Wed,7/25/17,10:00,135,19,23
Grand_Royal_Pancanaka,Wed,7/25/17,12:00,114,21,28
Grand_Royal_Pancanaka,Wed,7/25/17,14:00,106,23,35
Grand_Royal_Pancanaka,Wed,7/25/17,16:00,122,20,33
Grand_Royal_Pancanaka,Thu,7/26/17,10:00,121,15,23
Grand_Royal_Pancanaka,Thu,7/26/17,12:00,107,23,30
Grand_Royal_Pancanaka,Thu,7/26/17,14:00,87,20,32
Grand_Royal_Pancanaka,Thu,7/26/17,16:00,115,18,29
Grand_Royal_Pancanaka,Fri,7/27/17,10:00,124,16,30
Grand_Royal_Pancanaka,Fri,7/27/17,12:00,80,23,30
