LOCATION,DAY,DATE,TIME_WIB,TDS_PPM,TEMP_RIVER_C,TEMP_AIR_C
Pondok_Hijau_Indah,Sun,3/19/17,10:00,88,22,20.8
Pondok_Hijau_Indah,Sun,3/19/17,12:00,97,22,25.4
Pondok_Hijau_Indah,Sun,3/19/17,14:00,83,22,27.2
Pondok_Hijau_Indah,Sun,3/19/17,16:00,100,22,22.4
Pondok_Hijau_Indah,Sun,4/9/17,10:00,100,22,26.4
Pondok_Hijau_Indah,Sun,4/9/17,12:00,80,23,27.5
Pondok_Hijau_Indah,Sun,4/9/17,14:00,80,23,26.1
Pondok_Hijau_Indah,Sun,4/9/17,16:00,83,23,25.1
Pondok_Hijau_Indah,Sun,4/16/17,10:00,85,21,26.5
Pondok_Hijau_Indah,Sun,4/16/17,12:00,97,22,26.3
Pondok_Hijau_Indah,Sun,4/16/17,14:00,95,22,24
Pondok_Hijau_Indah,Sun,4/16/17,16:00,95,22,24.2
Pondok_Hijau_Indah,Sun,4/30/17,10:00,95,20,27
Pondok_Hijau_Indah,Sun,4/30/17,12:00,99,18,29
Pondok_Hijau_Indah,Sun,4/30/17,14:00,82,24,34
Pondok_Hijau_Indah,Sun,4/30/17,16:00,93,22,30
Pondok_Hijau_Indah,Mon,5/14/17,10:00,98,15,22
Pondok_Hijau_Indah,Mon,5/14/17,12:00,100,22,28
Pondok_Hijau_Indah,Mon,5/14/17,14:00,100,21,33
Pondok_Hijau_Indah,Mon,5/14/17,16:00,97,22,28
Pondok_Hijau_Indah,Tue,5/15/17,10:00,83,18,23
Pondok_Hijau_Indah,Tue,5/15/17,12:00,94,22,29
Pondok_Hijau_Indah,Tue,5/15/17,14:00,91,23,29
Pondok_Hijau_Indah,Tue,5/15/17,16:00,85,20,25
Pondok_Hijau_Indah,Wed,5/16/17,10:00,83,17,26
Pondok_Hijau_Indah,Wed,5/16/17,12:00,81,18,30
Pondok_Hijau_Indah,Wed,5/16/17,14:00,86,21,31
Pondok_Hijau_Indah,Wed,5/16/17,16:00,87,20,28
Pondok_Hijau_Indah,Thu,5/17/17,10:00,91,19,23
Pondok_Hijau_Indah,Thu,5/17/17,12:00,94,23,28
Pondok_Hijau_Indah,Thu,5/17/17,14:00,90,23,33
Pondok_Hijau_Indah,Thu,5/17/17,16:00,87,23,30
Pondok_Hijau_Indah,Fri,5/18/17,10:00,107,19,22
Pondok_Hijau_Indah,Fri,5/18/17,12:00,102,19,29
Pondok_Hijau_Indah,Fri,5/18/17,14:00,101,22,32
Pondok_Hijau_Indah,Fri,5/18/17,16:00,122,22,27
Pondok_Hijau_Indah,Sat,5/19/17,10:00,101,20,25
Pondok_Hijau_Indah,Sat,5/19/17,12:00,108,22,26
Pondok_Hijau_Indah,Sat,5/19/17,14:00,93,22,32
Pondok_Hijau_Indah,Sat,5/19/17,16:00,93,19,28
Pondok_Hijau_Indah,Sun,5/20/17,10:00,118,15,22
Pondok_Hijau_Indah,Sun,5/20/17,12:00,106,22,26
Pondok_Hijau_Indah,Sun,5/20/17,14:00,124,24,31
Pondok_Hijau_Indah,Sun,5/20/17,16:00,102,21,26
Pondok_Hijau_Indah,Mon,5/28/17,10:00,94,18,20
