no,year ,code,type,aq,x,y,elv,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
1,1997,115809,groundwater,tuffsand,785175.2099,10752835.9,1338,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,7,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
2,1997,115808,groundwater,tuffsand,785168.2099,10752842.9,1336,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6,7.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
3,1997,115807,groundwater,tuffsand,785175.2099,10752839.9,1320,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6,6.7,36.3,4.8,0.6,0,4.7,23,38.5,32.4
4,1997,115806,groundwater,tuffsand,785181.2099,10752842.9,1300,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,5.8,7,36.3,4.8,0.6,0,4.7,23,38.5,32.4
5,1997,115805,groundwater,tuffsand,785175.2099,10752850.9,1247,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6.8,6,36.3,4.8,0.6,0,4.7,23,38.5,32.4
6,1997,115804,groundwater,tuffsand,785180.2099,10752842.9,1240,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6.7,6.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
7,1997,115801,groundwater,tuffsand,785175.2099,10752843.9,1230,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,8,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
8,1997,115802,groundwater,tuffsand,785178.2099,10752842.9,1228,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,8,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
9,1997,115803,groundwater,tuffsand,785175.2099,10752848.9,1225,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,8.2,8.9,36.3,4.8,0.6,0,4.7,23,38.5,32.4
10,1997,115800,groundwater,tuffsand,785176.2099,10752842.9,1200,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,7,8.6,36.3,4.8,0.6,0,4.7,23,38.5,32.4
11,1997,112003,groundwater,tuffsand,785175.2099,10752842.9,1190,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6.8,8.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
12,1997,112004,groundwater,tuffsand,791358.411,10754868.21,1175,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,38.5,32.4
13,1997,111006,groundwater,tuffsand,779749.8099,10753920.75,1150,293,6.14,6.2,126.47,21,43,0.5,18.4,5.4,0.17,0.22,11,14,31.3,23,13.9,19.4,0.5,0,1.2,29,38.5,32.4
14,1997,111044,groundwater,tuffsand,778412.2092,10755905.52,1130,122,5.98,6,83.81,23.3,67,0.5,3.2,0.7,0.1,0.22,5.3,6.7,10,12.4,45.3,4.2,2,0,3.2,29,38.5,32.4
15,1997,112012,groundwater,tuffsand,785379.2415,10756053.09,1040,427,5.92,4.4,245.73,22.6,75,2,3.8,3.6,0.1,0.22,4.9,7.5,17.9,10.7,0,7.5,0.3,0.02,1.3,54,38.5,32.4
16,1997,214064,groundwater,breccias,777881.7124,10751587.28,990,91,5.82,9.6,83.4,22.2,76,0.5,3.4,1,0.1,0.22,4.2,9.5,0,46.4,18.1,3.6,0.9,0.02,0.8,55,38.5,32.4
17,1997,211010,groundwater,tuffsand,790201.3943,10764157.57,980,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,38.5,32.4
18,1997,211016,groundwater,tuffsand,785246.6244,10760146.76,940,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,51,0,2.7,1.3,0.01,2.1,28,38.5,32.4
19,1997,211047,groundwater,tuffsand,779287.0807,10757791.22,940,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,50,0,2.7,1.3,0,2.1,42,38.5,32.4
20,1997,211017,groundwater,tuffsand,785256.7552,10758265.61,890,522,6.5,6.2,238.41,22.9,30,0.3,21,11,0.98,0.22,4.1,27,19,28.7,0,48.8,65.2,0.01,3.6,29,38.5,32.4
21,1997,212009,groundwater,tuffsand,786240.1504,10760484.1,890,441,5.8,7,359.02,23.7,57,0.5,48,20.1,0.16,0.22,7.7,35.2,2.8,51.9,0,111.9,112.2,0,5.3,39,38.5,32.4
